,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
4870,Lauren Myracle,Graphic Novel,"Sports and Martial Arts, Superheroes, Adventures, Friendship, High School",Fiction,DC Ink,"May 14, 2019",,208,"Paperback, Nook, Kindle","February 04, 2020",Isaac Goodhart,,,,,
4871,E.D. Baker,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Book Characters, Brothers and Sisters, Fairy Tales, Great Girl Role Models",Fiction,Bloomsbury USA,"January 3, 2012",10 - 12,288,"Paperback, Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
4872,Aprilynne Pike,Fantasy,Magic and Fantasy,Fiction,HarperTeen,"May 1, 2009",,294,,"June 19, 2019",,,,,,
4873,Lisa McMann,Fantasy,"Superheroes, Adventures, Friendship, Science and Nature",Fiction,HarperCollins Children's Books,"October 3, 2017",8 - 12,400,"Nook, Hardback, iBooks, Kindle","September 25, 2018",Brandon Dorman,,,,,
4874,J.A. White,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Friendship, Monsters, Ghosts, and Vampires",Fiction,Katherine Tegen Books,"April 4, 2017",11 - 18,512,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",Andrea Offerman,,,,,
4875,Kathleen Krull,Picture Book,"Great Girl Role Models, History",Non-Fiction,Harper,"February 27, 2018",4 - 8,48,Hardback,"May 11, 2018",Nancy Zhang,,,,,
4876,Lois Lowry,Fantasy,"Magic and Fantasy, Adventures, Friendship, Great Girl Role Models",Fiction,Houghton Mifflin Children's Books,"May 27, 1014",9 - 14,215,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4877,,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Friendship",Fiction,Bloomsbury USA,"October 14, 2014",7 - 10,128,"Paperback, Hardback","June 19, 2019",Paige Pooler,"Elise Allen, Halle Stanford",,,,
4878,Mackenzi Lee,Historical Fiction,"Adventures, Brothers and Sisters, Friendship, Great Girl Role Models, Pirates",Fiction,Katherine Tegen Books,"October 2, 2018",13 - 18,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4879,Heather Vogel Frederick,Coming of Age,,Fiction,Aladdin,"April 27, 2007",9 - 12,256,,"July 13, 2017",,,,,,
4880,Jen Bryant,Picture Book,,Fiction,,"July 7, 2008",9 - 12,34,,"July 13, 2017",Melissa Sweet,,,,,
4881,Rick Riordan,Fantasy,Magic and Fantasy,Fiction,Hyperion Books for Children,"May 4, 2010",10 - 12,528,,"December 20, 2019",,,,,,
4882,Susan Zimet,History,"Book Characters, Great Girl Role Models, History, Misfits and Underdogs",Non-Fiction,Viking Books for Young Readers,"January 16, 2018",10 - 18,168,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4883,Sam Garton,Picture Book,"Arts and Dance, Great Boy Role Models, Great Girl Role Models",Fiction,Balzer + Bray,"June 14, 2016",4 - 8,32,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",Sam Garton,,,,,
4884,,Picture Book,"Princesses, Fairies, Mermaids, and More, Fairy Tales, Great Boy Role Models",Fiction,Tricycle Press,"March 1, 2003",5 - 8,32,Hardback,"July 13, 2017",,"Linda de Haan, Stern Nijland",,,,
4885,Corabel Shofner,Adventure,"Adventures, Great Girl Role Models, Misfits and Underdogs",Fiction,"Farrar, Straus and Giroux","August 11, 2017",9 - 14,304,"Paperback, Audiobook (unabridged), Hardback, Kindle","February 10, 2020",,,,,,
4886,Kevin Bolger,Humor,,Fiction,Razorbill,"May 29, 2008",9 - 14,224,,"July 13, 2017",Stephen Gilpin,,,,,
4887,Sandra Boynton,Emotions,"Friendship, Horses and Farm Animals, Wild Animals",Fiction,Little Simon,"May 24, 2011",1 - 2,16,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Sandra Boynton,,,,,
4888,Ellen Hopkins,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,Margaret K. McElderry,"January 24, 2017",14 - 18,608,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4889,Maggie Stiefvater,Folklore,"Magic and Fantasy, Arts and Dance, Brothers and Sisters, Great Girl Role Models, History",Fiction,Scholastic Press,"October 10, 2017",,320,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4890,Rebecca Stead,Friendship,"Brothers and Sisters, Friendship, Misfits and Underdogs",Fiction,Random House Children's Books,"August 7, 2012",9 - 12,192,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4891,Paige McKenzie,Fantasy,"Magic and Fantasy, Friendship, Great Girl Role Models, High School, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Weinstein Books,"March 24, 2015",,304,"Paperback, Nook, Hardback, iBooks, Kindle","July 15, 2015",,,,,,
4892,Munro Leaf,Picture Book,,Fiction,Penguin Group,"January 1, 1936",,68,,"March 21, 2019",Robert Lawson,,,,,
4893,Marissa Moss,Friendship,,Fiction,Pleasant Company,"October 1, 1999",9 - 12,30,,"July 12, 2017",Marissa Moss,,,,,
4894,Stephen Chbosky,Coming of Age,,Fiction,MTV,"February 1, 1999",,224,,"June 23, 2019",,,,,,
4895,Aaron Reynolds,Picture Book,"Ocean Creatures, Science and Nature, Wild Animals",Fiction,Chronicle Books,"August 20, 2013",4 - 8,40,"Nook, Hardback, Kindle","July 13, 2017",Dan Santat,,,,,
4896,Tony DiTerlizzi,Science Fiction,"Friendship, Great Girl Role Models, Misfits and Underdogs, Space and Aliens",Fiction,Simon & Schuster,"May 8, 2012",10 - 17,464,"Paperback, Audiobook (unabridged), Hardback, Kindle","December 04, 2019",Tony DiTerlizzi,,,,,
4897,Sara Pennypacker,Friendship,"Activism, Friendship, Great Boy Role Models, Great Girl Role Models, Science and Nature",Fiction,Balzer + Bray,"February 4, 2020",8 - 12,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 26, 2020",,,,,,
4898,Bernard Waber,Picture Book,,Fiction,Houghton Mifflin Children's Books,"April 27, 1977",,48,,"September 24, 2015",Bernard Waber,,,,,
4899,Emily Calandrelli,Science,"STEM, Adventures, Friendship, Great Girl Role Models, Robots, Science and Nature",Fiction,Simon & Schuster Books for Young Readers,"August 28, 2017",6 - 10,128,"Paperback, Audiobook (unabridged), Hardback, iBooks, Kindle","November 04, 2019",Renée Kurilla,,,,,
4900,National Children's Book & Literacy Alliance's Books,History,,Non-Fiction,Candlewick Press,"September 1, 2008",10 - 14,242,,"July 13, 2017",,,,,,
4901,Deni Brown,Animals,,Non-Fiction,DK Publishing Inc.,"January 1, 1998",2 - 4,36,,"July 12, 2017",Kenneth Lilly,,,,,
4902,Molly Brooks,Graphic Novel,"Adventures, Friendship, Great Girl Role Models, Space and Aliens",Fiction,Disney-Hyperion,"October 16, 2018",8 - 12,240,"Paperback, Nook, Hardback, iBooks, Kindle","March 21, 2019",Molly Brooks,,,,,
4903,Terri Libenson,Family Life,"Brothers and Sisters, Friendship, Great Girl Role Models, Middle School",Fiction,Balzer + Bray,"May 1, 2018",8 - 12,224,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4904,Bernard Waber,Friendship,,Fiction,Houghton Mifflin Children's Books,"January 1, 1988",,38,,"November 15, 2019",Bernard Waber,,,,,
4905,Rae Carson,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Great Girl Role Models",Fiction,HarperCollins Children's Books,"September 20, 2011",12 - 17,432,"Paperback, Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
4906,Dianne K. Salerni,Fantasy,"Magic and Fantasy, Book Characters, Friendship, Monsters, Ghosts, and Vampires",Fiction,HarperCollins Children's Books,"January 27, 2015",8 - 12,352,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4907,Sally Tagholm,Animals,,Non-Fiction,Larousse Kingfisher Chambers Inc.,"January 1, 2000",4 - 7,28,,"July 12, 2017",Bert Kitchen,,,,,
4908,Alison McGhee,Friendship,"Adventures, Bugs, Friendship, Great Boy Role Models, Great Girl Role Models, Misfits and Underdogs, Science and Nature, Wild Animals",Fiction,Atheneum,"August 18, 2015",8 - 12,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",Christopher Denise,,,,,
4909,Janine Macbeth,Picture Book,Great Boy Role Models,Fiction,Blood Orange Press,"June 30, 2013",2 - 5,,Hardback,"July 13, 2017",Janine Macbeth,,,,,
4910,Madeleine L'Engle,Science Fiction,,Fiction,Yearling Books,"January 1, 1976",,240,,"June 19, 2019",,,,,,
4911,Vicky Alvear Shecter,Historical Fiction,,Fiction,Arthur A. Levine,"August 1, 2011",12 - 17,368,,"July 13, 2017",,,,,,
4912,Jarrett J. Krosoczka,Picture Book,,Fiction,Knopf,"May 26, 2005",,40,,"March 04, 2020",,,,,,"Jarrett J. Krosoczka, K. C. Bailey"
4913,,Folklore,"Book Characters, Wild Animals",Fiction,HarperCollins Children's Books,"October 27, 2015",4 - 8,40,Hardback,"June 19, 2019",Esphyr Slobodkina,"Esphyr Slobodkina, Ann Marie Mulhearn Sayer",,,,
4914,Fred Rogers,Poetry,"Friendship, Great Boy Role Models, Puppets",Fiction,Quirk Books,"March 18, 2019",6 - 8,144,"Nook, Hardback, iBooks, Kindle","April 01, 2019",Luke Flowers,,,,,
4915,Elise Primavera,Adventure,,Fiction,HarperCollins Children's Books,"September 26, 2006",8 - 12,464,,"June 19, 2019",Elise Primavera,,,,,
4916,Jon Scieszka,Adventure,,Fiction,Simon & Schuster,"September 22, 2009",3 - 7,40,,"July 13, 2017",David Shannon,,,,,
4917,Sarah J. Maas,Fantasy,"Superheroes, Adventures, Misfits and Underdogs",Fiction,Random House Books for Young Readers,"August 7, 2018",,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4918,Coe Booth,Coming of Age,,Fiction,Push,"October 1, 2008",14,292,,"July 13, 2017",,,,,,
4919,Katherine Marsh,Adventure,"Adventures, Brothers and Sisters, Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,Roaring Brook Press,"August 7, 2018",8 - 18,368,"Nook, Hardback, iBooks, Kindle","March 19, 2019",,,,,,
4920,Jen Arena,Picture Book,"Friendship, Wild Animals",Fiction,Roaring Brook Press,"August 23, 2016",6 - 8,32,"Paperback, Hardback, iBooks, Kindle","February 13, 2019",Angela Dominguez,,,,,
4921,Antoinette Portis,Picture Book,,Fiction,HarperCollins Children's Books,"December 12, 2006",,32,,"April 12, 2017",Antoinette Portis,,,,ALA Best and Notable Books,
4922,,Autobiography,"Activism, Great Girl Role Models, History",Non-Fiction,Dial,"January 8, 2015",12 - 18,128,"Nook, Hardback, iBooks, Kindle","June 19, 2019",PJ Loughran,"Lynda Blackmon Lowery, Elspeth Leacock, Susan Buckley",,,ALA Best and Notable Books,
4923,Andrew Clements,Coming of Age,,Fiction,Simon & Schuster,"January 1, 2000",9 - 12,140,,"February 17, 2019",,,,,,
4924,Stephanie Perkins,Romance,"Arts and Dance, Friendship, High School",Fiction,Dutton Books,"August 14, 2014",14 - 18,339,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4925,Neil Gaiman,Picture Book,,Fiction,HarperCollins Children's Books,"May 26, 2009",4 - 8,40,,"July 13, 2017",Dave McKean,,,,,
4926,Robbin Gourley,Picture Book,Cooking and Baking,Fiction,Clarion Books,"January 19, 2009",4 - 7,48,,"November 15, 2019",,,,,,
4927,Emily Gravett,Picture Book,,Fiction,Simon & Schuster,"January 27, 2009",4 - 8,32,,"July 13, 2017",Emily Gravett,,,,,
4928,Martin W. Sandler,History,,Non-Fiction,HarperTrophy,"January 1, 1996",,91,,"September 15, 2015",,,,,,
4929,Brian Wells,Adventure,"Adventures, Great Boy Role Models, Great Girl Role Models, History, Middle School",Fiction,Republic Ink,"May 16, 2016",,282,"Nook, Hardback","June 19, 2019",,,,,,
4930,Tad Hills,Picture Book,"Cats, Dogs, and Mice, Friendship, Great Boy Role Models, Numbers and Letters",Fiction,Schwartz & Wade,"July 24, 2012",4 - 8,40,"Nook, Hardback, Kindle","June 19, 2019",Tad Hills,,,,,
4931,Cynthia Levinson,History,"Activism, Great Girl Role Models, History, Misfits and Underdogs",Non-Fiction,Atheneum,"January 16, 2017",5 - 10,40,"Hardback, iBooks, Kindle","July 10, 2019",Vanessa Brantley-Newton,,,,,
4932,Kate Thompson,Fantasy,,Fiction,Greenwillow Books,"May 1, 2008",12 - 17,323,,"July 13, 2017",,,,,,
4933,Pete Hautman,Science Fiction,"Magic and Fantasy, Adventures, Friendship, Science and Nature",Fiction,Candlewick Press,"May 14, 2013",12 - 17,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
4934,Clive Barker,Fantasy,Magic and Fantasy,Fiction,HarperCollins Children's Books,"December 12, 2004",,491,,"June 19, 2019",Clive Barker,,,,,
4935,Kendare Blake,Horror,"High School, Monsters, Ghosts, and Vampires",Fiction,Tor Teen,"August 30, 2011",12 - 17,320,"Nook, Audiobook (abridged), Hardback, iBooks, Kindle","June 22, 2019",,,,,,
4936,Kenneth Oppel,Fantasy,"Magic and Fantasy, Brothers and Sisters, Bugs, Misfits and Underdogs, Science and Nature",Fiction,Simon & Schuster Books for Young Readers,"October 6, 2015",8 - 12,256,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Jon Klassen,,,,,
4937,Jory John,Picture Book,"Misfits and Underdogs, Ocean Creatures, Wild Animals",Fiction,Random House Children's Books,"September 27, 2016",3 - 7,32,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Lane Smith,,,,,
4938,Anna Meriano,Fantasy,"Cooking and Baking, Magic and Fantasy, Great Girl Role Models",Fiction,Walden Pond Press,"January 2, 2018",8 - 12,320,"Nook, Audiobook (unabridged), Hardback, Kindle","March 29, 2019",,,,,,
4939,Sonia Sotomayor,Biography,"Brothers and Sisters, Friendship, Great Girl Role Models, High School, History, Middle School, Misfits and Underdogs",Non-Fiction,,"January 28, 2019",10 - 17,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 06, 2020",,,,"Delacorte Press, Random House Children's Books, Viking; Penguin Random House LLC",,"Bob Bianchini, Larsson McSwain"
4940,April Stevens,Picture Book,,Fiction,Schwartz & Wade,"September 11, 2007",,40,,"September 30, 2015",Tad Hills,,,,,
4941,Barbara Dee,Coming of Age,,Fiction,Aladdin,"April 27, 2010",9 - 13,272,,"July 13, 2017",,,,,,
4942,Rachel Renee Russell,Contemporary Fiction,,Fiction,Aladdin,"June 8, 2010",9 - 13,288,,"February 06, 2020",Rachel Renee Russell,,,,,
4943,Douglas Wood,Family Life,,Fiction,Candlewick Press,"January 1, 1999",4 - 7,28,,"July 12, 2017",P. J. Lynch,,,,,
4944,Kerri Maniscalco,Horror,"History, Monsters, Ghosts, and Vampires, Science and Nature",Fiction,jimmy patterson,"September 20, 2016",14 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4945,Melissa Albert,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Fairy Tales, Great Girl Role Models",Fiction,Flatiron Books,"January 30, 2018",,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 19, 2020",,,,,,
4946,Michelle Markel,Picture Book,"Arts and Dance, Book Characters, Great Boy Role Models, History",Non-Fiction,Chronicle Books,"April 4, 2017",5 - 8,44,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Nancy Carpenter,,,,,
4947,Jack Gantos,Adventure,"Cars and Trucks, Adventures, Friendship, Trains",Fiction,"Farrar, Straus and Giroux","September 24, 2013",10 - 14,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4948,Armand Baltazar,Adventure,"Cars and Trucks, Dinosaurs, Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Friendship, History, Misfits and Underdogs, Ocean Creatures, Pirates, Robots, Science and Nature",Fiction,Katherine Tegen Books,"October 10, 2017",8 - 12,624,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","January 31, 2018",Armand Baltazar,,,,,
4949,Garret Freymann-Weyr,Coming of Age,,Fiction,,"May 1, 2009",,336,,"July 15, 2015",,,,,,
4950,Dan Slater,Biography,History,Non-Fiction,Simon & Schuster,"September 13, 2016",,352,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4951,E. J. Patten,Fantasy,"Magic and Fantasy, Adventures, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Simon & Schuster,"September 6, 2011",8 - 12,500,"Paperback, Nook, Hardback, Kindle","June 20, 2019",John Rocco,,,,,
4952,Leila Howland,Coming of Age,"Arts and Dance, Friendship, Misfits and Underdogs",Fiction,Disney-Hyperion,"July 11, 2017",14 - 18,368,"Paperback, Nook, Hardback, Kindle","June 19, 2019",,,,,,
4953,Kate Alice Marshall,Adventure,"Adventures, Great Girl Role Models, Misfits and Underdogs",Fiction,Viking Books for Young Readers,"July 24, 2018",12 - 18,314,"Nook, Hardback, iBooks, Kindle","March 20, 2019",,,,,,
4954,Ludwig Bemelmans,Picture Book,,Fiction,Penguin Group,"January 1, 1993",,320,,"September 28, 2015",Ludwig Bemelmans,,,,,
4955,Ursula K. Le Guin,Fantasy,,Fiction,Harcourt,"October 20, 2006",,352,,"June 19, 2019",,,,,,
4956,Kristen Kittscher,Mystery,"Adventures, Brothers and Sisters, Friendship, Great Girl Role Models",Fiction,HarperCollins Children's Books,"June 18, 2013",8 - 12,351,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4957,Christine Bronstein,Picture Book,Brothers and Sisters,Fiction,"Nothing But the Truth, LLC","July 15, 2015",3 - 6,60,"Paperback, Hardback, Kindle","July 13, 2017",Karen L. Young,,,,,
4958,Jean de Brunhoff,Picture Book,,Fiction,Random House,"January 1, 2000",4 - 7,48,,"July 12, 2017",Jean de Brunhoff,,,,,
4959,Ally Carter,Coming of Age,,Fiction,Hyperion Books for Children,"May 1, 2006",12,288,,"July 13, 2017",,,,,,
4960,Audrey Wood,Folklore,,Fiction,Harcourt Brace,"January 1, 1995",,29,,"September 23, 2015",Robert Florczak,,,,,
4961,Carmen Bernier-Grand,Biography,,Non-Fiction,Marshall Cavendish Corp.,"March 1, 2009",9 - 12,64,,"July 13, 2017",David Diaz,,,,,
4962,Barbara Stuber,Historical Fiction,"Brothers and Sisters, History, Misfits and Underdogs",Fiction,Margaret K. McElderry,"May 13, 2014",12 - 18,336,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
4963,Rita Williams-Garcia,Emotions,"Arts and Dance, Great Boy Role Models, Misfits and Underdogs",Fiction,Amistad,"May 9, 2017",,176,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Frank Morrison,,,,,
4964,Boni Ashburn,Picture Book,"Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Beach Lane Books,"July 5, 2016",4 - 8,40,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Kimberly Gee,,,,,
4965,Jason Reynolds,Contemporary Fiction,"Sports and Martial Arts, Great Boy Role Models, Middle School",Fiction,Atheneum/Caitlyn Dlouhy Books,"August 30, 2016",10 - 18,192,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 09, 2019",,,,,,
4966,Jenny Lee,Friendship,"Adventures, Cats, Dogs, and Mice, Friendship, History, Misfits and Underdogs",Fiction,Balzer + Bray,"May 27, 2014",8 - 12,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Kelly Light,,,,,
4967,Cassandra Clare,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Friendship, Monsters, Ghosts, and Vampires",Fiction,Margaret K. McElderry,"May 27, 2014",14 - 17,725,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 11, 2020",,,,,,
4968,,History,"Great Boy Role Models, History",Non-Fiction,Roaring Brook Press,"January 7, 2020",9 - 12,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 26, 2020",,"Brad Meltzer, Josh Mensch",,,,
4969,Marissa Meyer,Science Fiction,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Fairy Tales, Space and Aliens",Fiction,Feiwel and Friends,"January 27, 2015",12 - 17,272,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4970,Jill Hathaway,Mystery,"Friendship, High School",Fiction,Balzer + Bray,"March 27, 2012",14 - 17,256,,"June 20, 2019",,,,,,
4971,Jonathan Auxier,Horror,"Magic and Fantasy, Brothers and Sisters, Great Boy Role Models, Great Girl Role Models, Monsters, Ghosts, and Vampires",Fiction,Amulet Books,"May 20, 2014",10 - 17,368,"Nook, Hardback, iBooks, Kindle","February 03, 2020",,,,,ALA Best and Notable Books,
4972,C.C. Payne,Emotions,"Friendship, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,Nancy Paulsen Books,"July 19, 2016",10 - 14,284,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
4973,Annie Barrows,Friendship,"Brothers and Sisters, Friendship, High School",Fiction,Greenwillow Books,"September 5, 2017",14 - 17,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,,
4974,Nic Stone,Romance,"Adventures, Friendship, High School, Misfits and Underdogs",Fiction,Crown Books for Young Readers,"October 17, 2019",14 - 18,352,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 20, 2019",,,,,,
4975,Jean Fritz,Historical Fiction,"Adventures, Great Boy Role Models, History",Fiction,Penguin Group,"January 1, 2000",9 - 12,255,,"July 12, 2017",,,,,,
4976,Catherine Linka,Contemporary Fiction,"Great Girl Role Models, High School",Fiction,St. Martin's Griffin,"May 6, 2014",13 - 18,368,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
4977,Jerry Seinfeld,Picture Book,,Fiction,"Little, Brown and Company","October 24, 2003",4 - 7,32,,"July 12, 2017",James Bennett,,,,,
4978,,Picture Book,,Fiction,Houghton Mifflin Children's Books,"February 1, 2004",4 - 7,32,,"July 12, 2017",,"Steve Jenkins, Robin Page",,,Caldecott Medal and Honors,"Leonard Jenkins, Robin Page"
4979,Rick Riordan,Folklore,"Fairy Tales, Monsters, Ghosts, and Vampires, Ocean Creatures",Fiction,Disney-Hyperion,"August 19, 2014",8 - 12,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","March 05, 2020",John Rocco,,,,,
4980,Sayantani DasGupta,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Fairy Tales, Friendship, Great Girl Role Models, Monsters, Ghosts, and Vampires",Fiction,Scholastic Press,"February 27, 2018",8 - 12,368,"Nook, Audiobook (unabridged), Hardback, Kindle","December 14, 2018",Vivienne To,,,,,
4981,Naomi Lewis,Short Stories,,Fiction,Candlewick Press,"November 1, 2000",,128,,"September 16, 2015",Angela Barrett,,,,,
4982,Angela Johnson,Contemporary Fiction,,Fiction,Simon & Schuster,"October 19, 2003",12 - 17,131,,"October 12, 2017",,,,,,
4983,Diane Duane,Fantasy,Magic and Fantasy,Fiction,Harcourt Brace,"January 1, 1990",10 - 14,338,,"July 12, 2017",,,,,,
4984,Kevin Henkes,Picture Book,,Fiction,William Morrow,"January 1, 1993",4 - 7,22,,"July 12, 2017",Kevin Henkes,,,,Caldecott Medal and Honors,
4985,Eoin Colfer,Coming of Age,"Cats, Dogs, and Mice, Friendship",Fiction,Candlewick,"September 10, 2019",7 - 12,144,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 30, 2019",P. J. Lynch,,,,,
4986,,Picture Book,"Magic and Fantasy, Trains, Wild Animals",Fiction,Chronicle Books,"April 16, 2013",4 - 6,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Tom Lichtenheld,"Sherri Duskey Rinker, Tom Lichtenheld",,,,
4987,Annika Thor,Coming of Age,"Brothers and Sisters, History, Misfits and Underdogs",Fiction,Delacorte Press,"October 11, 2011",,224,,"June 19, 2019",,,,,,
4988,Avi,Historical Fiction,"Adventures, Brothers and Sisters, Great Girl Role Models, History, Misfits and Underdogs",Fiction,Beach Lane Books,"September 25, 2012",8 - 12,302,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
4989,Amjed Qamar,Coming of Age,,Fiction,Atheneum,"June 17, 2008",12,202,,"July 13, 2017",,,,,,
4990,John Flanagan,Adventure,"Adventures, Great Boy Role Models, Misfits and Underdogs, Pirates",Fiction,Philomel,"May 1, 2012",10 - 14,432,,"June 19, 2019",,,,,,
4991,Ally Condie,Science Fiction,,Fiction,Dutton Books,"November 1, 2011",,364,,"June 19, 2019",,,,,,
4992,Mitsumasa Anno,Picture Book,,Fiction,Penguin Group,"January 1, 2000",4 - 7,32,,"July 12, 2017",,,,,,
4993,Richard Peck,Historical Fiction,"Brothers and Sisters, History",Fiction,Dial Books,"September 14, 2003",12 - 17,164,,"July 12, 2017",,,,,,
4994,Michael Townsend,Humor,,Fiction,Alfred A. Knopf,"October 13, 2009",8 - 12,96,,"June 19, 2019",Michael Townsend,,,,,
4995,Junauda Petrus,Romance,"Magic and Fantasy, Friendship",Fiction,Penguin Young Readers Group,"September 17, 2019",14 - 18,320,"Paperback, Nook, Audiobook (unabridged), Hardback, Kindle","February 06, 2020",,,,,Coretta Scott King Medal and Honors,
4996,David Levithan,Coming of Age,,Fiction,Alfred A. Knopf,"January 8, 2008",,256,,"June 19, 2019",,,,,,
4997,Veronica Roth,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Friendship, Space and Aliens",Fiction,Katherine Tegen Books,"January 17, 2017",14 - 18,480,"Audiobook (unabridged), Hardback, iBooks, Kindle","June 22, 2019",,,,,,
4998,Kathryn Lasky,Biography,,Fiction,Candlewick Press,"January 13, 2009",7 - 11,48,,"July 13, 2017",Matthew Trueman,,,,,
4999,Peter Lerangis,Fantasy,"Magic and Fantasy, Superheroes, Adventures, History",Fiction,Harper,"February 5, 2013",8 - 12,368,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",Mike Reagan,,,,,
5000,Carolyn Marsden,Family Life,,Fiction,Candlewick Press,"March 13, 2005",,134,,"September 22, 2015",,,,,,
5001,Joshua Mowll,Adventure,,Fiction,Candlewick Press,"October 19, 2005",10 - 14,271,,"June 19, 2019",,,,,,
5002,Catherynne M. Valente,Fantasy,"Magic and Fantasy, Adventures, Book Characters, Brothers and Sisters, Great Girl Role Models",Fiction,Margaret K. McElderry,"September 5, 2017",10 - 18,544,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Rebecca Green,,,,,
5003,,Graphic Novel,"Activism, Friendship, Great Girl Role Models, High School",Fiction,First Second,"January 14, 2020",10 - 14,336,"Paperback, Audiobook (unabridged), Hardback, Kindle","February 26, 2020",,"Lily Williams, Karen Schneemann",,,,
5004,Jessi Kirby,Coming of Age,"Friendship, High School",Fiction,Simon & Schuster,"May 14, 2013",12 - 17,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
